"Criteria Name","Criteria External Id","Criteria Internal Id"
"Influence","D3C1_1733143246290","674daacfcea3274f5256f1ad"
"Planning & Execution","D1C1_1733143246290","674daacfcea3274f5256f1aa"
"Communication","D2C2_1733143246290","674daacfcea3274f5256f1ac"
"Data based Governance","D2C1_1733143246290","674daacfcea3274f5256f1ab"
"Collaboration","D4C1_1733143246290","674daacfcea3274f5256f1ae"
