"Criteria Name","Criteria External Id","Criteria Internal Id"
"Data based Governance","D2C1_1733144675845","674db065988336e1e9fe16d1"
"Planning & Execution","D1C1_1733144675845","674db065988336e1e9fe16d0"
"Communication","D2C2_1733144675845","674db065988336e1e9fe16d2"
"Collaboration","D4C1_1733144675845","674db065988336e1e9fe16d4"
"Influence","D3C1_1733144675845","674db065988336e1e9fe16d3"
