"Criteria Name","Criteria External Id","Criteria Internal Id"
"Planning & Execution","D1C1_1733143150786","674daa6fcea3274f5256f10d"
"Collaboration","D4C1_1733143150786","674daa6fcea3274f5256f111"
"Influence","D3C1_1733143150786","674daa6fcea3274f5256f110"
"Data based Governance","D2C1_1733143150786","674daa6fcea3274f5256f10e"
"Communication","D2C2_1733143150786","674daa6fcea3274f5256f10f"
