"externalId","name","criteriaId","weightage","expressionVariables","L1","L2","L3","status"
"D1C1_1733143150786","Planning & Execution","674daa70cea3274f5256f11c","1.0","SCORE=674daa70cea3274f5256f11c.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C1_1733143150786","Data based Governance","674daa70cea3274f5256f11d","1.0","SCORE=674daa70cea3274f5256f11d.scoreOfAllQuestionInCriteria()","20<=SCORE<=60","60<SCORE<=100","100<SCORE<=150","Success."
"D2C2_1733143150786","Communication","674daa70cea3274f5256f11e","1.0","SCORE=674daa70cea3274f5256f11e.scoreOfAllQuestionInCriteria()","20<=SCORE<=60","60<SCORE<=120","120<SCORE<=200","Success."
"D3C1_1733143150786","Influence","674daa70cea3274f5256f11f","1.0","SCORE=674daa70cea3274f5256f11f.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D4C1_1733143150786","Collaboration","674daa70cea3274f5256f120","1.0","SCORE=674daa70cea3274f5256f120.scoreOfAllQuestionInCriteria()","25<=SCORE<=50","50<SCORE<=75","75<SCORE<=100","Success."
