"Criteria Name","Criteria External Id","Criteria Internal Id"
"Data based Governance","D2C1_1733143086824","674daa2f988336e1e9fe1336"
"Influence","D3C1_1733143086824","674daa2f988336e1e9fe1338"
"Communication","D2C2_1733143086824","674daa2f988336e1e9fe1337"
"Collaboration","D4C1_1733143086824","674daa2f988336e1e9fe1339"
"Planning & Execution","D1C1_1733143086824","674daa2f988336e1e9fe1335"
