"internal id","Question External Id","Question Name"
"Question already exists","N101_1636625759433","Select the medium of the course consumption"
"Question already exists","N102_1636625759433","Select the courses that you have enrolled in NISHTHA 2.0"
"Question already exists","N103_1636625759433","Select the courses which you have got the certificate."
"Question already exists","N104_1636625759433","Select the courses that you have enrolled in NISHTHA 2.0"
"Question already exists","N105_1636625759433","Select the courses which you have got the certificate"
"Question already exists","N106_1636625759433","Select the courses that you have enrolled in NISHTHA 2.0"
"Question already exists","N107_1636625759433","Select the courses which you have got the certificate."
"Question already exists","N108_1636625759433","Give a rating on the reading materials available in the course"
"Question already exists","N109_1636625759433","Give a rating on the instructional videos available in the courses"
"Question already exists","N110_1636625759433","Give a rating on the assessments available in the courses"
"Question already exists","N111_1636625759433","Give a rating on YouTube live sessions conducted by the State experts"
"Question already exists","N112_1636625759433","Select top 3 courses which you most like"
"Question already exists","N113_1636625759433","Select top 3 courses which you most like"
"Question already exists","N114_1636625759433","Select top 3 courses which you most like"
"Question already exists","N114_1636625759433","Write your feedback on the entire courses"
