"externalId","name","criteriaId","weightage","expressionVariables","L1","L2","L3","status"
"D1C1_1733143246290","Planning & Execution","674daacfcea3274f5256f1b9","1.0","SCORE=674daacfcea3274f5256f1b9.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D2C1_1733143246290","Data based Governance","674daacfcea3274f5256f1ba","1.0","SCORE=674daacfcea3274f5256f1ba.scoreOfAllQuestionInCriteria()","20<=SCORE<=60","60<SCORE<=100","100<SCORE<=150","Success."
"D2C2_1733143246290","Communication","674daacfcea3274f5256f1bb","1.0","SCORE=674daacfcea3274f5256f1bb.scoreOfAllQuestionInCriteria()","20<=SCORE<=60","60<SCORE<=120","120<SCORE<=200","Success."
"D3C1_1733143246290","Influence","674daacfcea3274f5256f1bc","1.0","SCORE=674daacfcea3274f5256f1bc.scoreOfAllQuestionInCriteria()","20<=SCORE<=40","40<SCORE<=80","80<SCORE<=100","Success."
"D4C1_1733143246290","Collaboration","674daacfcea3274f5256f1bd","1.0","SCORE=674daacfcea3274f5256f1bd.scoreOfAllQuestionInCriteria()","25<=SCORE<=50","50<SCORE<=75","75<SCORE<=100","Success."
