"Criteria Name","Criteria External Id","Criteria Internal Id"
"Planning & Execution","D1C1_1733142313841","674da72aef61d99ca921d791"
"Data based Governance","D2C1_1733142313841","674da72aef61d99ca921d792"
"Communication","D2C2_1733142313841","674da72aef61d99ca921d793"
"Influence","D3C1_1733142313841","674da72aef61d99ca921d794"
"Collaboration","D4C1_1733142313841","674da72aef61d99ca921d795"
